Address,Name,Is delegator,Avatar,Space,Ens name,Follow Count,Follows Space,Total Votes,Proposal Interaction,Proposal Interaction In Space,Proposal Interaction outside of Space,Total NFT`s,Total Rewards NFT`s,User is delegator,Cluster
0x683a4F9915D6216f73d6Df50151725036bD26C02,,0.0,,aave.eth,gauntletgov.eth,-1.1982307203636733,-1.3281720657887315,2.103478517458873,-0.6510711364461473,-0.5997154016133699,-0.5980955297945036,-1.092467940529827,-0.33857064130952,0.0,0
0x990daFE818681F8E18d14E2Ae7abD30aE46BF1c2,,0.0,,aave.eth,,-1.1982307203636733,-1.3281720657887315,1.8086606172738426,-0.7952120093623052,-0.8139124137999988,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0xd2362DbB5Aa708Bc454Ce5C3F11050C016764fA6,Delegate.GovernanceHouse,0.0,ipfs://bafkreihggih5ng3nhow7dx3yfhkomzknh4i4lgsg7qfccfrdfdfxxpeqtq,aave.eth,,-0.928224121113557,0.7529144948596346,1.7375113875237571,-0.7551728779967057,-0.6949140736963161,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,,0.0,,aave.eth,blockchainatucla.eth,-1.0632274207386152,0.7529144948596346,1.6198848234365077,-0.6991180940848666,-0.7901127457792623,-0.5767752840121245,-1.092467940529827,-0.33857064130952,0.0,0
0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,0.0,,aave.eth,,-1.1982307203636733,-1.3281720657887315,1.5222010699810398,-0.7872041830891853,-0.7901127457792623,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0xF5Fb27b912D987B5b6e02A1B1BE0C1F0740E2c6f,,0.0,,aave.eth,,-1.1982307203636733,-1.3281720657887315,1.2361487117820509,-0.7791963568160655,-0.7901127457792623,-0.6833765129240201,-1.092467940529827,-0.33857064130952,0.0,0
0x511E3D32A4fc0E6CF736b6E92c2a546a86964709,,0.0,,aave.eth,,-1.1982307203636733,-1.3281720657887315,1.1138297518543336,-0.7791963568160655,-0.7663130777585256,-0.6940366358152096,-1.092467940529827,-0.33857064130952,0.0,0
0xb4F70F2F0f1A27276571a12e60c64E321f40d47C,,0.0,,aave.eth,,-0.928224121113557,-1.3281720657887315,0.9550140320132432,-0.6590789627192672,-0.7901127457792623,-0.5234746695561767,-1.092467940529827,-0.33857064130952,0.0,0
0x5BC928BF0DAb1e4A2ddd9e347b0F22e88026D76c,,0.0,,aave.eth,,0.8268187740121984,0.7529144948596346,0.7297478554167729,-0.7631807042698256,-0.8377120818207353,-0.6407360213592619,-1.092467940529827,-0.33857064130952,0.0,4
0x1855f41B8A86e701E33199DE7C25d3e3830698ba,0xkeyrock.eth,0.0,ipfs://bafkreieerj6ku7ppfetywn5fnxlvc5f5xyivvewzgv5guk6jivp5b7xwb4,aave.eth,0xkeyrock.eth,-0.25320762298826643,0.7529144948596346,0.7358767045631774,0.26982888496263907,0.9472630197345056,-0.06508938523502557,-1.092467940529827,-0.33857064130952,0.0,0
